sexo,educacao,estado_civil,idade,vl_fatura,inadimplente
2,1,2,24,40035.0,1
2,2,1,34,1500.0,0
2,1,2,22,19247.0,0
2,1,1,34,1151.0,0
2,3,2,22,0.0,1
2,1,1,38,0.0,0
1,1,2,31,10833.0,0
2,1,2,26,487.0,0
1,2,2,26,122135.0,0
2,2,1,48,146511.0,0
1,3,1,43,19337.0,0
1,1,1,47,0.0,0
2,2,1,41,0.0,1
2,2,2,24,49568.0,1
2,1,1,50,1709.0,0
1,1,2,24,85632.0,0
2,1,1,38,1222.0,1
2,3,1,43,31339.0,0
1,2,2,39,8032.0,0
1,2,2,27,309959.0,0
1,3,1,42,780.0,0
2,2,1,36,-946.0,1
1,2,2,36,78245.0,0
2,3,0,31,63208.0,0
2,1,2,38,0.0,0
2,1,1,40,120238.0,1
2,3,2,45,330121.0,0
2,2,2,35,212508.0,0
2,2,2,33,33263.0,0
2,3,2,37,29957.0,1
2,1,2,28,128839.0,0
1,3,1,44,0.0,0
1,2,1,37,19175.0,0
1,2,2,23,18858.0,1
2,3,2,24,0.0,0
2,1,2,24,1308.0,0
1,2,2,23,10104.0,1
1,2,1,26,46557.0,0
1,2,2,34,150052.0,1
2,2,1,33,19421.0,0
1,1,2,35,19942.0,0
2,2,2,27,29497.0,0
2,1,2,31,2293.0,0
2,3,1,50,214694.0,1
2,2,3,41,16383.0,1
2,1,2,28,2285.0,0
1,1,2,39,15874.0,0
2,2,2,27,29399.0,0
2,1,2,32,0.0,0
2,1,2,40,79.0,0
2,2,2,40,0.0,0
2,2,1,75,794.0,0
2,2,2,27,32904.0,0
1,1,2,25,25358.0,0
1,3,1,46,17484.0,0
2,2,2,26,29998.0,0
1,2,2,28,0.0,0
2,2,2,26,106828.0,1
2,1,2,28,84426.0,0
2,2,2,29,2486.0,0
1,2,1,25,28538.0,0
2,2,1,48,21361.0,0
2,2,1,33,2210.0,0
2,3,1,43,0.0,0
1,1,1,48,162402.0,1
2,1,2,29,36739.0,0
1,2,2,29,28309.0,0
2,1,1,38,12652.0,0
2,1,2,37,338.0,0
2,1,2,37,16872.0,0
2,2,1,25,316.0,0
1,3,2,23,9411.0,0
2,3,2,49,27500.0,1
2,1,2,48,35673.0,0
1,2,2,27,2614.0,1
1,3,2,32,18126.0,0
1,1,1,34,0.0,0
2,1,2,58,0.0,1
2,2,2,33,11905.0,0
2,2,2,28,0.0,1
2,2,2,36,15085.0,0
1,1,1,40,22535.0,1
2,1,2,26,316.0,0
1,3,1,33,19703.0,0
2,2,1,31,101299.0,0
2,1,2,27,0.0,0
1,2,1,44,43414.0,0
2,3,2,30,70204.0,0
2,1,2,28,56265.0,0
2,3,1,32,98457.0,0
2,1,1,46,586.0,0
1,1,2,38,46549.0,0
2,2,1,46,97622.0,0
2,2,2,25,51365.0,1
2,2,1,46,4311.0,0
1,1,2,33,-339603.0,1
2,2,2,22,0.0,1
1,2,1,43,2566.0,0
1,2,2,27,10182.0,1
1,1,2,29,0.0,0
1,1,2,31,133990.0,0
2,2,1,29,1820.0,0
2,2,1,36,131629.0,0
2,1,1,36,30771.0,0
1,1,2,34,203.0,1
1,2,2,37,64513.0,0
2,1,2,36,0.0,0
2,3,1,40,14458.0,0
2,1,2,25,12510.0,1
2,1,2,27,7414.0,0
2,2,2,26,400.0,0
2,2,1,36,0.0,0
2,2,1,27,0.0,0
1,3,1,55,14514.0,1
2,1,2,27,11736.0,0
2,2,1,38,2077.0,0
2,2,1,34,132845.0,0
1,1,2,40,14340.0,0
2,3,1,49,59983.0,1
1,1,2,27,6441.0,0
1,2,2,23,19346.0,1
2,2,2,36,53652.0,0
2,3,1,53,485.0,0
2,3,1,46,24883.0,0
1,2,2,29,-2.0,0
1,2,2,29,47969.0,1
2,1,2,27,103263.0,0
1,2,2,24,8085.0,0
2,2,1,28,6173.0,1
2,2,2,32,100738.0,0
1,2,2,43,37056.0,0
2,2,1,41,325.0,1
2,2,1,34,30225.0,1
1,2,1,55,7416.0,0
1,1,1,40,109428.0,0
2,2,1,37,16893.0,1
2,2,2,40,12685.0,1
2,1,2,28,31857.0,0
2,2,1,43,78388.0,0
1,1,2,27,18868.0,0
2,1,2,28,160361.0,0
2,1,2,30,159108.0,0
2,2,2,31,0.0,0
2,2,1,31,29170.0,1
2,1,2,34,830.0,0
2,2,2,30,0.0,0
1,2,2,36,978.0,0
2,1,2,29,24248.0,0
1,1,1,39,1005.0,0
2,1,2,26,106517.0,0
2,1,2,29,1654.0,0
2,2,2,26,3980.0,0
2,2,2,29,41145.0,1
2,2,2,31,142174.0,0
2,2,2,26,19844.0,1
1,1,2,26,23101.0,0
1,1,1,36,1386.0,0
1,1,2,30,0.0,1
2,2,2,43,19414.0,0
1,3,1,58,18856.0,0
1,2,1,45,31127.0,1
2,2,2,26,103360.0,0
1,2,2,34,169121.0,0
2,4,2,24,84462.0,0
1,1,1,34,291.0,0
2,2,2,23,419643.0,1
2,2,2,30,74610.0,0
1,2,2,32,25775.0,0
1,1,1,40,216.0,1
2,1,2,35,613.0,0
2,2,1,56,8676.0,0
2,2,1,61,24774.0,0
1,2,2,24,2132.0,0
1,1,1,40,0.0,0
2,2,1,32,10985.0,1
1,2,1,36,0.0,1
1,1,2,30,21712.0,0
2,1,2,34,48767.0,0
1,3,3,54,25943.0,0
1,1,1,46,178719.0,0
1,3,1,58,22437.0,0
1,2,1,43,24242.0,0
2,1,2,28,3745.0,0
1,1,2,30,49888.0,0
1,2,2,31,12487.0,1
2,2,2,29,75355.0,0
2,2,1,37,2415.0,1
1,3,1,36,88450.0,0
2,2,2,28,5889.0,1
1,2,2,25,0.0,0
2,5,1,42,240176.0,0
2,1,2,29,0.0,0
1,3,1,73,75018.0,1
1,2,1,43,157759.0,0
1,1,1,30,291.0,1
1,1,1,38,0.0,0
2,2,1,39,33316.0,1
1,2,1,44,71620.0,0
2,2,2,29,21085.0,0
1,1,1,51,0.0,0
2,1,2,27,142620.0,0
1,1,2,38,28947.0,0
2,2,2,22,632.0,0
2,2,1,30,74125.0,0
2,2,2,25,117167.0,0
1,1,2,29,184922.0,0
2,3,3,42,29064.0,0
1,1,2,41,822.0,1
1,2,1,48,26179.0,0
2,1,2,29,153800.0,1
1,1,1,52,82150.0,0
2,2,1,25,0.0,0
1,1,1,37,303510.0,0
2,1,2,27,66541.0,0
1,1,2,31,167983.0,0
2,1,2,23,32965.0,1
2,1,1,38,-150.0,0
2,1,1,32,3404.0,0
2,2,2,27,5068.0,1
2,3,1,41,22593.0,0
2,3,1,35,0.0,0
2,1,2,31,160.0,0
2,1,2,30,18990.0,0
1,2,1,48,19548.0,0
2,1,2,36,0.0,1
1,1,2,24,29371.0,0
2,1,2,29,151936.0,0
2,2,2,38,0.0,0
1,2,1,38,105253.0,1
2,2,1,30,190306.0,0
2,2,1,32,0.0,0
2,3,2,49,16414.0,1
2,1,2,31,199.0,1
1,1,2,27,29795.0,0
2,2,2,33,66167.0,0
2,2,2,25,77648.0,0
2,1,2,27,281826.0,1
2,1,2,29,53206.0,0
2,1,1,36,167964.0,0
1,3,1,55,0.0,0
2,2,1,32,221413.0,1
2,1,2,27,150.0,0
1,3,1,37,60145.0,0
2,1,1,25,20859.0,0
2,1,2,23,47110.0,1
1,2,2,23,12584.0,0
1,1,2,32,89522.0,0
2,1,2,26,2995.0,0
2,1,2,27,124793.0,0
1,1,2,44,198857.0,1
1,2,2,34,15602.0,0
2,1,2,28,83988.0,0
2,1,1,53,1599.0,0
1,4,1,42,0.0,0
2,3,1,30,58880.0,0
1,1,1,51,0.0,1
1,1,1,53,434715.0,1
1,2,2,37,131074.0,0
2,1,2,26,871.0,0
1,2,2,42,48443.0,0
1,2,2,39,5315.0,0
1,3,2,39,75820.0,0
1,1,2,32,0.0,0
2,2,1,41,9130.0,0
1,2,1,48,6400.0,1
2,2,1,38,126219.0,0
2,2,1,36,7868.0,0
2,2,2,26,1448.0,0
2,1,2,28,96116.0,0
2,3,3,56,150.0,0
1,1,1,59,191671.0,1
1,1,2,38,165300.0,1
1,2,2,32,19831.0,0
1,2,1,38,51481.0,0
2,1,1,41,670.0,0
2,3,2,35,263018.0,1
2,2,2,41,155182.0,0
1,2,1,34,1382.0,0
1,3,1,38,35002.0,0
2,2,1,32,5930.0,0
2,2,2,29,23159.0,0
1,1,2,44,29638.0,0
2,2,1,37,50809.0,0
2,1,1,38,450.0,0
1,1,2,31,0.0,0
2,2,1,40,919.0,0
1,2,2,26,130271.0,1
2,2,2,28,4162.0,0
1,3,1,48,59378.0,0
2,2,1,43,2562.0,0
1,2,1,31,117465.0,0
2,1,1,42,6992.0,0
1,2,1,39,95323.0,0
2,2,1,36,396.0,1
2,1,1,34,2514.0,0
2,2,2,32,0.0,0
2,2,1,43,19633.0,0
1,2,2,30,69174.0,0
2,2,2,28,0.0,0
2,1,1,28,10490.0,1
1,1,1,41,320.0,0
2,3,2,47,198717.0,0
1,2,2,23,19664.0,0
2,1,1,49,1639.0,0
1,1,1,38,19933.0,0
2,2,1,38,24576.0,0
2,2,1,35,30548.0,0
2,6,2,46,193351.0,0
2,1,1,33,0.0,1
1,6,1,53,0.0,0
1,1,2,35,1220.0,0
2,2,2,43,200.0,0
2,2,2,28,34661.0,0
2,2,1,30,5515.0,0
1,1,2,26,0.0,0
1,2,1,31,390.0,0
2,2,2,35,240.0,1
1,1,2,28,50537.0,0
1,2,2,23,33081.0,1
2,2,2,23,13246.0,0
1,3,1,56,80335.0,0
1,3,1,32,71284.0,0
1,2,1,47,19439.0,0
2,2,2,22,9984.0,0
2,1,1,34,115297.0,0
2,1,1,31,19818.0,0
2,2,2,27,61420.0,0
1,1,2,28,125557.0,1
2,2,1,42,66735.0,1
2,1,2,32,74827.0,0
2,2,2,27,2891.0,0
1,2,2,27,20241.0,0
2,2,1,45,170894.0,1
1,1,2,26,2600.0,0
2,2,2,21,0.0,0
1,2,2,23,19575.0,0
1,2,3,30,18302.0,0
1,2,2,46,6785.0,1
2,3,1,50,62524.0,1
1,1,2,26,0.0,0
1,2,2,25,6200.0,0
2,1,2,35,179221.0,0
1,2,1,44,46775.0,0
2,1,2,52,0.0,0
2,2,1,40,101213.0,0
2,1,2,38,270.0,0
2,1,2,28,318.0,0
2,2,1,36,28805.0,1
2,1,2,24,29427.0,0
2,1,1,34,2142.0,0
2,1,2,31,51941.0,0
2,1,1,41,-200.0,1
2,2,2,25,0.0,0
2,1,2,28,20539.0,0
1,1,2,27,31214.0,0
1,3,1,52,7638.0,1
2,1,2,41,554.0,1
1,1,1,56,29977.0,1
2,1,1,42,0.0,0
2,2,2,24,37255.0,0
2,2,1,47,0.0,0
2,1,1,33,199.0,0
2,2,2,32,83206.0,0
1,2,2,29,0.0,0
2,3,1,53,65163.0,0
1,1,2,34,14923.0,0
2,2,2,52,-3.0,0
2,2,1,42,3640.0,0
1,2,2,38,66078.0,0
2,1,2,45,2698.0,0
2,3,2,35,11082.0,0
2,1,2,24,23387.0,1
1,1,2,28,6220.0,0
1,3,2,26,19567.0,0
2,1,1,40,0.0,0
2,1,2,29,0.0,0
2,2,2,23,19013.0,0
1,1,2,33,4532.0,0
2,2,2,60,1009.0,1
2,3,1,49,7601.0,0
1,1,1,53,238266.0,1
2,1,2,28,48888.0,0
1,1,2,31,4085.0,0
1,2,2,36,6980.0,0
1,2,1,35,0.0,0
1,2,2,28,0.0,1
1,2,2,33,38449.0,0
1,1,2,26,9528.0,0
2,3,2,53,54022.0,0
1,2,2,42,0.0,0
2,1,2,25,17618.0,0
1,1,1,43,0.0,1
1,3,2,25,1990.0,1
2,2,2,29,47455.0,0
2,2,1,31,18659.0,0
2,1,1,30,51522.0,0
1,1,2,34,87526.0,0
1,1,1,35,9011.0,0
1,2,1,32,38052.0,0
1,3,2,46,62213.0,0
1,1,1,43,134309.0,0
1,2,2,29,250244.0,0
2,3,2,31,0.0,0
2,2,2,24,57264.0,0
2,2,1,36,65373.0,1
2,2,1,43,25514.0,0
1,3,1,59,1320.0,1
1,1,1,53,12930.0,0
2,2,2,28,29930.0,0
2,2,2,31,0.0,0
1,1,2,34,24549.0,0
2,2,1,36,0.0,0
2,1,2,24,33189.0,0
2,3,1,36,3000.0,0
2,2,1,34,390.0,0
1,1,2,43,33150.0,0
2,1,2,29,2650.0,1
1,2,1,37,44573.0,0
1,2,2,23,29551.0,0
2,2,1,37,125478.0,0
1,1,2,33,3323.0,0
2,1,1,37,0.0,0
2,2,1,56,101151.0,0
1,1,2,25,39140.0,0
2,2,1,39,70718.0,0
2,2,1,39,31561.0,0
2,2,2,28,610.0,0
2,1,2,27,0.0,0
2,2,1,37,541.0,0
2,1,2,24,0.0,0
2,2,2,24,15829.0,0
1,1,1,46,49946.0,0
1,1,1,39,660.0,0
1,3,1,48,29693.0,0
2,3,3,45,9921.0,0
1,3,2,49,0.0,0
2,2,2,23,33138.0,0
2,3,1,25,0.0,0
2,2,1,47,0.0,0
1,3,1,56,23468.0,0
2,3,1,44,0.0,0
2,3,1,49,4756.0,0
1,2,1,41,18805.0,0
2,1,2,40,173599.0,0
1,2,2,31,51461.0,0
1,2,1,42,147911.0,0
2,3,1,28,0.0,0
2,2,2,32,65576.0,0
1,2,2,28,51434.0,0
2,2,1,31,21251.0,0
1,3,2,39,0.0,0
1,3,1,31,0.0,1
2,2,2,24,58390.0,0
2,2,1,44,195874.0,1
2,2,2,46,18148.0,0
1,1,2,32,-200.0,0
2,2,2,26,14497.0,0
2,1,2,22,19547.0,0
2,1,1,42,0.0,1
1,2,2,33,6857.0,0
1,2,1,39,3526.0,1
2,3,2,27,0.0,0
2,1,2,28,34412.0,1
2,1,2,23,1460.0,0
2,2,2,28,1047.0,0
2,1,1,33,7957.0,0
1,2,1,40,0.0,1
2,1,2,37,510.0,0
1,1,2,22,390.0,0
2,2,1,32,30456.0,0
2,3,1,43,100124.0,0
2,3,1,27,59480.0,0
2,2,1,35,26918.0,0
2,3,1,35,101492.0,0
2,1,1,30,7598.0,1
2,2,2,34,36904.0,0
1,2,1,34,17113.0,1
2,1,2,28,79261.0,1
1,2,2,25,1800.0,1
2,1,1,41,105859.0,0
1,3,2,42,28306.0,1
1,2,2,40,169928.0,1
1,1,2,28,156323.0,0
2,2,2,31,2508.0,0
2,1,2,56,7024.0,0
2,2,3,45,22158.0,0
2,1,2,29,0.0,0
2,1,1,35,0.0,0
2,2,2,28,57170.0,0
1,1,1,40,235837.0,0
1,1,1,47,4125.0,0
2,3,1,41,643.0,1
2,2,2,27,171863.0,0
1,1,1,40,136287.0,0
1,2,2,32,42527.0,0
1,2,2,35,2129.0,0
1,2,2,27,0.0,0
2,2,1,29,125021.0,1
1,1,2,30,59329.0,0
1,2,1,37,2967.0,0
2,1,2,29,0.0,0
2,1,1,34,7570.0,0
2,2,2,34,0.0,0
1,1,1,41,13969.0,0
2,1,2,31,561.0,0
2,2,2,40,0.0,0
2,1,1,27,8588.0,0
2,3,2,22,0.0,1
2,2,3,30,37615.0,1
2,2,3,22,26357.0,0
1,1,2,26,19060.0,1
1,2,1,38,50616.0,0
2,3,1,46,14673.0,0
1,2,2,24,1320.0,0
1,2,2,49,10000.0,0
1,1,3,49,18088.0,0
2,2,1,42,46254.0,0
2,1,1,30,0.0,0
1,2,1,42,4750.0,0
2,1,2,31,2174.0,0
2,2,1,49,29645.0,0
2,2,2,27,87049.0,0
2,2,1,33,0.0,1
2,1,1,35,0.0,0
2,2,2,48,27236.0,0
2,2,2,22,30520.0,0
1,2,2,22,5033.0,1
2,1,2,27,3333.0,0
1,1,1,47,316.0,0
2,2,2,34,31401.0,0
1,2,1,45,10192.0,1
2,2,2,39,998.0,0
1,2,2,33,113.0,0
2,2,2,29,49880.0,0
1,1,2,29,1023.0,1
2,3,2,26,7666.0,0
1,2,1,38,168802.0,0
1,1,2,34,-18.0,0
2,1,1,37,0.0,0
1,2,1,57,30900.0,0
2,3,1,50,18659.0,0
2,3,2,28,96704.0,0
2,1,2,31,105965.0,0
2,1,2,25,84011.0,0
2,2,2,25,23718.0,1
2,2,1,33,84237.0,0
2,1,2,30,0.0,0
2,1,1,51,55744.0,0
1,1,2,51,40150.0,0
2,2,1,46,12532.0,0
1,3,2,38,34434.0,0
2,2,1,34,16826.0,0
2,3,1,34,191069.0,1
2,1,2,31,780.0,1
2,2,2,25,34365.0,1
2,2,1,26,5176.0,0
2,1,2,25,73568.0,0
1,2,2,26,20041.0,1
2,2,2,43,11590.0,0
2,2,1,36,2100.0,0
1,2,2,58,51083.0,0
2,2,2,26,20047.0,0
2,2,1,30,12663.0,1
2,2,2,31,64507.0,0
2,2,2,24,30528.0,0
2,2,2,52,18711.0,1
2,2,2,24,0.0,0
2,2,1,35,85962.0,0
2,3,2,29,0.0,0
2,2,1,33,233710.0,0
2,1,2,35,1116.0,0
2,2,1,35,40434.0,0
2,1,2,28,8114.0,0
1,2,1,40,612.0,0
2,1,1,35,0.0,0
2,2,2,53,8123.0,0
1,1,2,44,466.0,0
1,2,1,33,10101.0,0
2,2,1,32,117949.0,0
2,1,2,33,0.0,0
2,1,2,26,37993.0,0
1,1,2,26,3393.0,0
1,2,2,26,1320.0,0
2,1,1,32,2312.0,1
2,2,2,31,32851.0,0
1,1,2,29,34672.0,0
1,2,1,27,1085.0,0
2,1,2,28,87096.0,1
2,1,1,42,0.0,1
2,2,1,32,76645.0,1
2,1,2,26,0.0,0
2,1,2,38,0.0,0
2,1,1,35,32519.0,0
1,2,2,29,4129.0,0
2,2,2,29,0.0,0
2,2,2,51,27249.0,0
1,1,2,27,1096.0,0
1,1,2,32,-281.0,0
2,3,1,40,2124.0,0
2,1,1,34,20329.0,0
2,2,1,30,80347.0,0
2,1,2,29,0.0,0
2,1,2,22,0.0,0
2,1,2,48,18147.0,0
2,2,1,35,28012.0,0
1,1,2,37,3058.0,0
1,2,2,25,16314.0,1
2,3,1,44,11104.0,0
2,1,2,28,0.0,0
1,2,2,29,0.0,0
2,1,1,36,65755.0,0
2,2,2,23,3703.0,0
2,3,2,36,19953.0,1
2,1,2,26,35171.0,0
2,2,0,37,28021.0,0
2,1,3,44,0.0,0
2,1,1,39,61707.0,0
2,1,2,24,0.0,0
2,3,1,29,6138.0,0
1,3,1,33,72215.0,1
2,2,1,39,108143.0,0
1,3,1,51,47245.0,1
2,3,2,24,6204.0,0
2,2,1,45,3795.0,0
1,1,2,30,18848.0,0
2,3,0,51,390.0,0
2,2,2,24,26850.0,1
1,2,1,50,63156.0,0
2,1,2,22,19705.0,0
1,1,2,27,12413.0,1
2,2,2,33,0.0,0
2,2,1,24,28607.0,0
1,2,2,37,5923.0,0
2,2,1,58,1500.0,0
2,2,1,48,9693.0,0
1,1,2,28,0.0,0
2,3,1,24,21162.0,0
2,2,1,27,90717.0,1
2,3,2,30,0.0,0
2,1,2,23,0.0,0
2,3,2,53,3245.0,1
2,2,2,23,25476.0,0
2,2,1,55,18828.0,0
1,2,1,34,103200.0,0
1,1,1,43,0.0,1
2,2,2,22,27109.0,0
2,2,1,31,39965.0,0
2,2,1,32,6804.0,0
2,2,2,33,150.0,1
1,3,1,39,367399.0,0
2,1,1,38,8452.0,0
2,2,1,34,1815.0,0
1,2,3,42,29789.0,1
1,3,1,37,143131.0,1
2,3,1,57,15000.0,0
2,2,2,23,44059.0,0
1,2,2,32,22428.0,0
1,1,1,37,0.0,0
2,2,2,23,44614.0,0
2,3,2,49,0.0,0
2,2,2,25,7300.0,0
2,1,2,29,34487.0,1
2,3,1,43,53176.0,1
1,2,2,29,129669.0,0
2,2,2,27,6321.0,0
1,1,2,26,0.0,0
1,1,1,41,46199.0,0
2,3,2,52,2450.0,1
2,2,1,31,8703.0,0
1,1,2,32,49666.0,0
2,2,1,46,27409.0,0
2,2,2,35,0.0,0
1,1,2,35,0.0,0
2,2,1,39,78400.0,0
2,2,2,34,305498.0,0
2,2,3,52,17664.0,0
2,3,1,40,43108.0,0
2,3,1,38,189.0,0
1,1,1,45,1890.0,0
2,3,1,40,390.0,0
2,2,1,25,29818.0,0
1,1,2,33,68837.0,0
2,2,2,27,9530.0,0
2,2,1,43,10757.0,0
2,2,1,43,18844.0,0
1,1,2,30,5318.0,0
2,2,1,49,0.0,1
2,1,2,38,133504.0,0
1,3,2,57,29647.0,0
1,3,2,55,29878.0,1
2,2,2,23,59141.0,0
1,1,2,30,-304.0,0
2,2,1,30,2549.0,0
2,2,2,24,14422.0,0
1,2,2,28,38555.0,0
2,3,1,34,377.0,0
1,2,2,37,12284.0,0
2,2,1,32,0.0,0
1,1,2,27,96073.0,0
2,2,1,37,0.0,1
1,1,2,31,100.0,0
1,1,3,55,101577.0,1
2,1,2,28,145012.0,1
2,3,3,51,14184.0,1
1,1,1,36,0.0,0
1,1,2,30,0.0,0
2,1,1,36,0.0,0
1,2,2,25,34608.0,0
1,3,1,50,0.0,0
2,2,2,40,63293.0,0
2,2,2,27,29086.0,0
1,1,2,30,2699.0,1
2,2,2,26,0.0,0
1,1,2,27,0.0,0
2,1,2,27,46153.0,0
2,1,2,25,88813.0,0
1,1,2,32,253671.0,0
2,3,1,46,77169.0,0
1,3,1,45,0.0,0
1,3,1,30,23404.0,0
1,1,1,39,3983.0,0
1,1,1,48,33827.0,0
1,1,2,32,0.0,1
1,1,2,46,352257.0,0
2,1,2,23,43744.0,0
2,1,2,33,2500.0,0
2,1,2,24,32555.0,0
1,1,1,40,31352.0,0
2,1,2,24,716.0,0
2,2,2,24,0.0,0
1,1,2,27,13080.0,1
1,2,1,46,8490.0,0
2,2,2,22,20303.0,0
2,1,2,36,17795.0,0
1,1,1,34,1143.0,0
2,2,2,24,56728.0,0
1,1,1,60,4317.0,1
2,2,2,29,0.0,1
1,2,2,32,12566.0,1
2,2,1,36,10776.0,0
1,2,2,30,0.0,0
2,2,2,29,57398.0,0
1,1,2,34,1711.0,0
2,2,1,32,23389.0,1
2,2,1,32,11193.0,0
2,1,2,25,19630.0,0
1,2,1,44,1261.0,0
2,1,1,37,1013.0,0
2,2,2,24,300.0,1
